position,method,symbol_sent,symbol_sent_display,symbol_code,symbol_decoded,symbol_decoded_display,correct,symbol_state_fidelity,largest_readout_probability,entanglement_fidelity_single_use,entanglement_fidelity_character,choi_fidelity_single_use,choi_fidelity_character,operator_error_single_use,operator_error_character,logical_depth_per_character,routed_depth_per_character,logical_cnot_per_character,routed_cnot_per_character,swap_per_character
9,Clifford route chaine,S,S,0111,S,S,True,0.9999999999999705,0.9999999999999705,0.9999999999999928,0.9999999999999711,0.9999999999999938,0.9999999999999751,1.980209576835881e-15,1.598738964129565e-14,12,84,56,392,112
10,Clifford route chaine,T,T,1000,T,T,True,0.9999999999999718,0.9999999999999718,0.9999999999999928,0.9999999999999711,0.9999999999999938,0.9999999999999751,1.980209576835881e-15,1.598738964129565e-14,12,84,56,392,112
11,Clifford route chaine, ,ESPACE,0110, ,ESPACE,True,0.9999999999999711,0.9999999999999711,0.9999999999999928,0.9999999999999711,0.9999999999999938,0.9999999999999751,1.980209576835881e-15,1.598738964129565e-14,12,84,56,392,112
12,Clifford route chaine,V,V,1001,V,V,True,0.9999999999999711,0.9999999999999711,0.9999999999999928,0.9999999999999711,0.9999999999999938,0.9999999999999751,1.980209576835881e-15,1.598738964129565e-14,12,84,56,392,112
13,Clifford route chaine,I,I,0100,I,I,True,0.9999999999999718,0.9999999999999718,0.9999999999999928,0.9999999999999711,0.9999999999999938,0.9999999999999751,1.980209576835881e-15,1.598738964129565e-14,12,84,56,392,112
14,Clifford route chaine,V,V,1001,V,V,True,0.9999999999999711,0.9999999999999711,0.9999999999999928,0.9999999999999711,0.9999999999999938,0.9999999999999751,1.980209576835881e-15,1.598738964129565e-14,12,84,56,392,112
15,Clifford route chaine,A,A,0101,A,A,True,0.9999999999999711,0.9999999999999711,0.9999999999999928,0.9999999999999711,0.9999999999999938,0.9999999999999751,1.980209576835881e-15,1.598738964129565e-14,12,84,56,392,112
16,Clifford route chaine,N,N,1010,N,N,True,0.9999999999999711,0.9999999999999711,0.9999999999999928,0.9999999999999711,0.9999999999999938,0.9999999999999751,1.980209576835881e-15,1.598738964129565e-14,12,84,56,392,112
17,Clifford route chaine,T,T,1000,T,T,True,0.9999999999999718,0.9999999999999718,0.9999999999999928,0.9999999999999711,0.9999999999999938,0.9999999999999751,1.980209576835881e-15,1.598738964129565e-14,12,84,56,392,112
18,Clifford route chaine,E,E,0010,E,E,True,0.9999999999999718,0.9999999999999718,0.9999999999999928,0.9999999999999711,0.9999999999999938,0.9999999999999751,1.980209576835881e-15,1.598738964129565e-14,12,84,56,392,112
