B_size,seed,scrambler_layers,emission_time,petz_entanglement_fidelity,noise_model,noise_depth,synthesis_method,claim,geometry,architecture_diameter,causal_line_lower_bound,logical_cnot_count,logical_two_qubit_depth,mean_logical_interaction_distance,routing_swap_count,routed_cnot_count,routed_two_qubit_depth,final_entanglement_fidelity,status
4,4014,6,2,0.9999999999999973,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,21,16,1.4761904761904763,22,87,72,0.9999999999999936,validated
4,4015,6,1,0.9999999999999964,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4015,6,2,0.9999999999999971,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,29,25,1.6206896551724137,0,29,25,0.9999999999999931,validated
4,4015,6,2,0.9999999999999971,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,29,25,1.6206896551724137,16,77,61,0.9999999999999931,validated
4,4016,6,1,0.9999999999999971,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4016,6,2,0.9999999999999959,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,33,23,1.4848484848484849,0,33,23,0.9999999999999928,validated
4,4016,6,2,0.9999999999999959,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,33,23,1.4848484848484849,26,111,89,0.9999999999999928,validated
4,4017,6,1,0.9999999999999962,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4017,6,2,0.9999999999999962,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,24,20,1.5833333333333333,0,24,20,0.9999999999999926,validated
4,4017,6,2,0.9999999999999962,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,24,20,1.5833333333333333,20,84,64,0.9999999999999926,validated
4,4018,6,1,0.9999999999999964,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4018,6,2,0.9999999999999962,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,30,23,1.5333333333333334,0,30,23,0.9999999999999939,validated
4,4018,6,2,0.9999999999999962,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,30,23,1.5333333333333334,16,78,58,0.9999999999999939,validated
4,4019,6,1,0.9999999999999964,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4019,6,2,0.9999999999999969,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,25,16,1.4,0,25,16,0.9999999999999943,validated
